dropout,seed,epoch,layer,stable_rank,test_acc
0.3,6,1,layer4,2.673319067774153,0.1281
0.3,6,50,layer1,2.541752478487301,0.5928
0.3,6,50,layer2,3.205566602379752,0.5928
0.3,6,50,layer4,4.077590638726288,0.5928
0.3,6,100,layer1,2.496611698321336,0.7644
0.3,6,100,layer2,3.159368628894336,0.7644
0.3,6,100,layer4,3.7986586564952183,0.7644
0.3,7,1,layer1,2.32957233442298,0.1239
0.3,7,1,layer2,2.5746711742832074,0.1239
0.3,7,1,layer4,2.660917354888068,0.1239
0.3,7,50,layer1,2.4841728844300945,0.573
0.3,7,50,layer2,2.88353633582493,0.573
0.3,7,50,layer4,3.7200060200821348,0.573
0.3,7,100,layer1,2.3729227258660472,0.7663
0.3,7,100,layer2,2.939187068920812,0.7663
0.3,7,100,layer4,3.818521585389677,0.7663
0.3,8,1,layer1,2.202858637710469,0.1305
0.3,8,1,layer2,2.5066084759536236,0.1305
0.3,8,1,layer4,2.775840060087051,0.1305
0.3,8,50,layer1,2.48494101342106,0.5696
0.3,8,50,layer2,3.3093235959626437,0.5696
0.3,8,50,layer4,4.086430103444025,0.5696
0.3,8,100,layer1,2.4241381011264047,0.7666
0.3,8,100,layer2,3.140699853159732,0.7666
0.3,8,100,layer4,3.884649833025868,0.7666
0.3,9,1,layer1,2.4402060340092366,0.1318
0.3,9,1,layer2,2.4673606634938015,0.1318
0.3,9,1,layer4,3.0052971301938896,0.1318
0.3,9,50,layer1,3.0963427431904127,0.5654
0.3,9,50,layer2,3.1361965197926325,0.5654
0.3,9,50,layer4,3.742040724639876,0.5654
0.3,9,100,layer1,2.958344580587604,0.7622
0.3,9,100,layer2,3.1425155980163493,0.7622
0.3,9,100,layer4,3.808957789994496,0.7622
0.4,0,1,layer1,2.2911048962806553,0.1222
0.4,0,1,layer2,2.576809053155041,0.1222
0.4,0,1,layer4,2.9015199671907794,0.1222
0.4,0,50,layer1,2.17387657426026,0.5661
0.4,0,50,layer2,3.0152961906650253,0.5661
0.4,0,50,layer4,4.007031845352316,0.5661
0.4,0,100,layer1,2.1433412316061573,0.7626
0.4,0,100,layer2,2.9870376621524044,0.7626
0.4,0,100,layer4,3.839171864592671,0.7626
0.4,1,1,layer1,2.1959700610588686,0.1176
0.4,1,1,layer2,2.05791646134315,0.1176
0.4,1,1,layer4,3.1654757124725337,0.1176
0.4,1,50,layer1,1.928239538044566,0.5708
0.4,1,50,layer2,3.1766913029633086,0.5708
0.4,1,50,layer4,4.106764611796503,0.5708
0.4,1,100,layer1,1.9184726344199259,0.7633
0.4,1,100,layer2,3.189018465978814,0.7633
0.4,1,100,layer4,3.8733572091358606,0.7633
0.4,2,1,layer1,2.2101412015185646,0.1204
0.4,2,1,layer2,2.4901135109558465,0.1204
0.4,2,1,layer4,2.755869034679419,0.1204
0.4,2,50,layer1,2.4967760847329354,0.5779
0.4,2,50,layer2,2.8946555501980833,0.5779
0.4,2,50,layer4,4.2191020921259685,0.5779
0.4,2,100,layer1,2.5837714719509903,0.7591
0.4,2,100,layer2,3.0174287330037437,0.7591
0.4,2,100,layer4,3.8479125913076175,0.7591
0.4,3,1,layer1,2.2567723381316895,0.0996
0.4,3,1,layer2,2.6147040311959913,0.0996
0.4,3,1,layer4,3.3817254127998093,0.0996
0.4,3,50,layer1,2.1793367934549863,0.5486
0.4,3,50,layer2,2.9716852741873208,0.5486
0.4,3,50,layer4,4.230837287348995,0.5486
0.4,3,100,layer1,2.073658146277342,0.7645
0.4,3,100,layer2,3.0688443077389613,0.7645
0.4,3,100,layer4,3.9182240587034927,0.7645
0.4,4,1,layer1,2.1181469392888626,0.1135
0.4,4,1,layer2,2.5608115751641267,0.1135
0.4,4,1,layer4,2.805585137713598,0.1135
0.4,4,50,layer1,2.5109058985643475,0.5569
0.4,4,50,layer2,2.860191221588761,0.5569
0.4,4,50,layer4,3.9415223055161213,0.5569
0.4,4,100,layer1,2.383295819511841,0.7604
0.4,4,100,layer2,3.003931734241016,0.7604
0.4,4,100,layer4,3.9056165047905913,0.7604
0.4,5,1,layer1,2.1344892324696367,0.1119
0.4,5,1,layer2,2.397978913538561,0.1119
0.4,5,1,layer4,2.6030429347941215,0.1119
0.4,5,50,layer1,2.695497666960376,0.5696
0.4,5,50,layer2,3.0351312369332124,0.5696
0.4,5,50,layer4,4.168926515452524,0.5696
0.4,5,100,layer1,2.4946224403550916,0.7615
0.4,5,100,layer2,2.9706485862480942,0.7615
0.4,5,100,layer4,3.8784149718420933,0.7615
0.4,6,1,layer1,2.2609474959433666,0.1298
0.4,6,1,layer2,2.461040359798829,0.1298
0.4,6,1,layer4,3.2312728041372596,0.1298
0.4,6,50,layer1,2.5786843137212374,0.5638
0.4,6,50,layer2,3.2942153681148407,0.5638
0.4,6,50,layer4,4.161125338314573,0.5638
0.4,6,100,layer1,2.601099411218196,0.7648
0.4,6,100,layer2,3.161971920662244,0.7648
0.4,6,100,layer4,3.8803929262627688,0.7648
0.4,7,1,layer1,2.434282763445498,0.1323
0.4,7,1,layer2,2.2883755811829327,0.1323
0.4,7,1,layer4,3.115320495725926,0.1323
0.4,7,50,layer1,2.5034435151417904,0.5409
0.4,7,50,layer2,2.987509308007264,0.5409
0.4,7,50,layer4,3.792988056010219,0.5409
0.4,7,100,layer1,2.3725023065717767,0.7622
0.4,7,100,layer2,3.134450083601925,0.7622
0.4,7,100,layer4,3.8346498778612337,0.7622
0.4,8,1,layer1,2.3930348937316226,0.1264
0.4,8,1,layer2,2.0987002781090442,0.1264
0.4,8,1,layer4,3.2503827035074595,0.1264
0.4,8,50,layer1,1.9445331809256257,0.5844
0.4,8,50,layer2,3.1656259504071076,0.5844
0.4,8,50,layer4,4.112884839457061,0.5844
0.4,8,100,layer1,1.9240805155812666,0.7661
